Name,Plataforma,Status,Expect,Got,How Long to beat min,How Long to beat max,How Long to beat medium
The Last of Us Part 2,PS4,Completado,9.5,10,,,
Ori And the Blind Forest,Switch,Jogando,8,,,,
Ori and the will of wisps,Switch,Para Jogar,8,,,,
Hollow Knight,Switch,Joguei e Parei,10,,,,
Celeste,Switch,Joguei e Parei,10,,,,
Diablo 3,Switch,Para Jogar,7,,,,
Final Fantasy 7,PS4,Joguei e Parei,9,,,,
Persona 5,PS4,Para Jogar,10,,,,
Spider Man Miles Morales,PS4,Para Jogar,10,,,,
Shadow of mordor,PS4,Para Jogar,7,,,,
Shadow of war,PS4,Para Jogar,7,,,,
The Witcher 3,PS4,Para Jogar,9,,,,
Watch Dogs 2,PS4,Joguei e Parei,8,,,,
Nier Automata,PS4,Joguei e Parei,9,,,,
Final Fantasy 12,PS4,Joguei e Parei,10,,,,
Zelda link's awakening,Switch,Joguei e Parei,8,,,,
Zelda tears of the kingdom,Switch,Para Jogar,10,,,,
Final Fantasy 16,PS5,Comprar,10,,,,
Final Fantasy Pixel Remaster,Switch,Comprar,10,,,,
The Cult of the lamb,Switch,Comprar,8,,,,
Resident Evil 4 Remake,PS4,Comprar,10,,,,
Stardew Valley,PC,Joguei e Parei,10,,,,
Child of Light,Switch,Para Jogar,8,,,,
Hades,Switch,Comprar,9,,,,
God of War Ragnarok,PS4,Comprar,9,,,,
Horizon forbiden West,PS4,Para Jogar,9,,,,
Chained Echoes,Switch,Jogando,6,,,,
Sea of Stars,Switch,Comprar,9,,,,
The Survivalists,Switch,Para Jogar,6,,,,
Rogue Legacy,Switch,Joguei e Parei,6,,,,
Monster Hunter Rise,Switch,Joguei e Parei,9,,,,
Sky Filhos da Luz,Switch,Para Jogar,7,,,,
Little Nightmares,Switch,Para Jogar,8,,,,
Unruly Heroes,Switch,Para Jogar,6,,,,
CupHead,Switch,Para Jogar,9,,,,
Ender Lilies,Switch,Para Jogar,9,,,,
Little Nightmares 2,Switch,Para Jogar,9,,,,
Super Mario Bros,NES,Para Jogar,10,,,,
Super Mario Bros 2,NES,Para Jogar,10,,,,
Super Mario Bros 3,NES,Para Jogar,10,,,,
Yoshi,NES,Para Jogar,10,,,,
The Legend Of Zelda,NES,Para Jogar,10,,,,
River City Ransom,NES,Para Jogar,10,,,,
Donkey Kong,NES,Para Jogar,10,,,,
Double Dragon,NES,Para Jogar,10,,,,
Dr Mario,NES,Para Jogar,10,,,,
Ghosts and Goblins,NES,Para Jogar,10,,,,
Metroid,NES,Para Jogar,10,,,,
The Legend Of Zelda 2 ,NES,Para Jogar,10,,,,
Ninja Gaiden,NES,Para Jogar,10,,,,
Kirby Adventure,NES,Para Jogar,10,,,,
Punch Out,NES,Para Jogar,10,,,,
Kid Icarus,NES,Para Jogar,10,,,,
Double Dragon 2,NES,Para Jogar,10,,,,
Donkey Kong 2,NES,Para Jogar,10,,,,
Earthbound,NES,Para Jogar,10,,,,
Shadow of the ninja,NES,Para Jogar,10,,,,
Super Metroid,SNES,Para Jogar,10,,,,
Super Mario World,SNES,Para Jogar,10,,,,
Super Mario World 2,SNES,Para Jogar,10,,,,
Super Ghosts n Goblins,SNES,Para Jogar,10,,,,
Star Fox,SNES,Para Jogar,10,,,,
Kirbys Dream Course,SNES,Para Jogar,10,,,,
Kirby Dream Land,SNES,Para Jogar,10,,,,
Zelda a link to the past,SNES,Para Jogar,10,,,,
Breath of Fire,SNES,Para Jogar,10,,,,
F zero,SNES,Para Jogar,10,,,,
Breath of Fire 2,SNES,Para Jogar,10,,,,
Star Fox 2,SNES,Para Jogar,10,,,,
Donkey Kong Country,SNES,Para Jogar,10,,,,
Donkey Kong Country 2,SNES,Para Jogar,10,,,,
Donkey Kong Country 3,SNES,Para Jogar,8,,,,
Kirby Avalanche,SNES,Para Jogar,10,,,,
Sonic 2,Mega Drive,Para Jogar,10,,,,
Streets of Rage 2,Mega Drive,Para Jogar,10,,,,
Phantasy Star 4,Mega Drive,Para Jogar,10,,,,
Shining Force,Mega Drive,Para Jogar,10,,,,
Castlevania Bloodlines,Mega Drive,Para Jogar,10,,,,
Contra,Mega Drive,Para Jogar,6,,,,
Ecco the Dolphin,Mega Drive,Para Jogar,6,,,,
Golden Axe,Mega Drive,Para Jogar,10,,,,
Altered Beast,Mega Drive,Para Jogar,10,,,,
Comix Zone,Mega Drive,Para Jogar,10,,,,
Mega Man te Willy Wars,Mega Drive,Para Jogar,7,,,,
Shining Force 2,Mega Drive,Para Jogar,10,,,,
Zero Wing,Mega Drive,Para Jogar,7,,,,
Golden Axe 2,Mega Drive,Para Jogar,10,,,,
Virtua FIghter 2,Mega Drive,Para Jogar,10,,,,
Earthworm jim,Mega Drive,Para Jogar,10,,,,
Street Fighter 2,Mega Drive,Para Jogar,10,,,,
Kid Chameleon,Mega Drive,Para Jogar,6,,,,
Yoshis Story,N64,Para Jogar,6,,,,
Super Mario 64,N64,Jogando,10,,,,
Star Fox 64,N64,Para Jogar,10,,,,
Mario Kart 64,N64,Para Jogar,10,,,,
Dr Mario 64,N64,Para Jogar,10,,,,
Zelda Majoras Mask,N64,Para Jogar,8,,,,
Banjoo Kazooe,N64,Para Jogar,7,,,,
Paper Mario,N64,Para Jogar,10,,,,
Kirby64,N64,Para Jogar,10,,,,
F-zero X,N64,Para Jogar,8,,,,
Mario Party,N64,Para Jogar,10,,,,
Mario Party 2,N64,Para Jogar,10,,,,
Pokemon Stadium,N64,Para Jogar,10,,,,
007 Goldneye,N64,Para Jogar,10,,,,
Wario Land 3,Game Boy,Para Jogar,10,,,,
Tetris,Game Boy,Para Jogar,10,,,,
Alone in the Dark,Game Boy,Para Jogar,6,,,,
kirby Dream Land 2,Game Boy,Para Jogar,10,,,,
Wario Ware inc,GBA,Para Jogar,6,,,,
Zelda Minish Cap,GBA,Para Jogar,10,,,,
Mario e Luigi Superstar Saga,GBA,Para Jogar,10,,,,
Metroid Fusion,GBA,Jogando,10,,,,
To the Moon,PC,Comprar,10,,,,
A Space for the unbound,Switch,Comprar,8,,,,
Eastward,Switch,Comprar,9,,,,
Stray,PS4,Para Jogar,9,,,,
No Place for Bavery,Switch,Comprar,6,,,,
Kingdom Hearts 1.5 + 2.5,PS4,Para Jogar,10,,,,
Outer Wilds,PS4,Para Jogar,7,,,,
Mortal Shell,PS4,Para Jogar,7,,,,
Dead Cells,PS4,Para Jogar,9,,,,
BloodBorne,PS4,Para Jogar,10,,,,
DarkSouls,PS4,Comprar,9,,,,
DarkSouls 2,PS4,Comprar,9,,,,
DarkSouls 3,PS4,Comprar,9,,,,
